
2024/10/09 (20:15:31) | ===> btop++ v.1.4.0
2024/10/09 (20:15:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (20:20:02) | ===> btop++ v.1.4.0
2024/10/09 (20:20:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (22:14:05) | ===> btop++ v.1.4.0
2024/10/09 (22:14:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (02:50:46) | ===> btop++ v.1.4.0
2024/10/10 (02:50:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (16:26:23) | ===> btop++ v.1.4.0
2024/10/10 (16:26:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (18:39:52) | ===> btop++ v.1.4.0
2024/10/10 (18:39:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (19:17:20) | ===> btop++ v.1.4.0
2024/10/10 (19:17:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (18:21:02) | ===> btop++ v.1.4.0
2024/10/13 (18:21:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (12:44:12) | ===> btop++ v.1.4.0
2024/10/14 (12:44:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (16:01:17) | ===> btop++ v.1.4.0
2024/10/15 (16:01:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (12:44:25) | ===> btop++ v.1.4.0
2024/10/18 (12:44:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (17:25:58) | ===> btop++ v.1.4.0
2024/10/18 (17:25:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (17:26:14) | ===> btop++ v.1.4.0
2024/10/18 (17:26:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (20:41:17) | ===> btop++ v.1.4.0
2024/10/18 (20:41:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (20:45:49) | ===> btop++ v.1.4.0
2024/10/18 (20:45:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/19 (20:12:48) | ===> btop++ v.1.4.0
2024/10/19 (20:12:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (17:56:28) | ===> btop++ v.1.4.0
2024/10/20 (17:56:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (19:38:56) | ===> btop++ v.1.4.0
2024/10/20 (19:38:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (23:39:35) | ===> btop++ v.1.4.0
2024/10/20 (23:39:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (00:38:13) | ===> btop++ v.1.4.0
2024/10/21 (00:38:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (11:04:43) | ===> btop++ v.1.4.0
2024/10/23 (11:04:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (11:06:03) | ===> btop++ v.1.4.0
2024/10/23 (11:06:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (11:27:45) | ===> btop++ v.1.4.0
2024/10/23 (11:27:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/24 (18:07:02) | ===> btop++ v.1.4.0
2024/10/24 (18:07:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (19:04:42) | ===> btop++ v.1.4.0
2024/10/26 (19:04:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (14:27:26) | ===> btop++ v.1.4.0
2024/10/30 (14:27:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (14:27:35) | ===> btop++ v.1.4.0
2024/10/30 (14:27:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (14:52:23) | ===> btop++ v.1.4.0
2024/10/30 (14:52:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (14:54:16) | ===> btop++ v.1.4.0
2024/10/30 (14:54:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (09:33:54) | ===> btop++ v.1.4.0
2024/10/31 (09:33:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (19:23:59) | ===> btop++ v.1.4.0
2024/11/01 (19:23:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (19:00:52) | ===> btop++ v.1.4.0
2024/11/08 (19:00:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (08:53:06) | ===> btop++ v.1.4.0
2024/11/10 (08:53:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (12:58:19) | ===> btop++ v.1.4.0
2024/11/13 (12:58:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (13:27:44) | ===> btop++ v.1.4.0
2024/11/13 (13:27:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (01:43:09) | ===> btop++ v.1.4.0
2024/11/14 (01:43:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (21:16:16) | ===> btop++ v.1.4.0
2024/11/15 (21:16:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (23:39:50) | ===> btop++ v.1.4.0
2024/11/15 (23:39:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (13:55:53) | ===> btop++ v.1.4.0
2024/11/23 (13:55:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/24 (21:12:14) | ===> btop++ v.1.4.0
2024/11/24 (21:12:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (07:15:14) | ===> btop++ v.1.4.0
2024/11/25 (07:15:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/26 (21:05:32) | ===> btop++ v.1.4.0
2024/11/26 (21:05:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (12:45:14) | ===> btop++ v.1.4.0
2024/11/28 (12:45:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (14:31:10) | ===> btop++ v.1.4.0
2024/11/28 (14:31:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (11:43:51) | ===> btop++ v.1.4.0
2024/12/03 (11:43:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (11:50:31) | ===> btop++ v.1.4.0
2024/12/03 (11:50:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (11:57:45) | ===> btop++ v.1.4.0
2024/12/03 (11:57:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (05:19:52) | ===> btop++ v.1.4.0
2024/12/05 (05:19:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (08:45:08) | ===> btop++ v.1.4.0
2024/12/05 (08:45:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (08:47:50) | ===> btop++ v.1.4.0
2024/12/05 (08:47:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (12:28:01) | ===> btop++ v.1.4.0
2024/12/05 (12:28:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (13:54:38) | ===> btop++ v.1.4.0
2024/12/07 (13:54:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (21:54:18) | ===> btop++ v.1.4.0
2024/12/09 (21:54:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (18:08:24) | ===> btop++ v.1.4.0
2024/12/11 (18:08:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (12:15:22) | ===> btop++ v.1.4.0
2024/12/16 (12:15:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (23:42:36) | ===> btop++ v.1.4.0
2024/12/16 (23:42:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (23:22:03) | ===> btop++ v.1.4.0
2024/12/17 (23:22:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (11:32:50) | ===> btop++ v.1.4.0
2024/12/18 (11:32:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (04:52:54) | ===> btop++ v.1.4.0
2024/12/22 (04:52:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (15:36:55) | ===> btop++ v.1.4.0
2024/12/25 (15:36:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (15:39:07) | ===> btop++ v.1.4.0
2024/12/25 (15:39:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (21:07:00) | ===> btop++ v.1.4.0
2024/12/25 (21:07:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (17:46:11) | ===> btop++ v.1.4.0
2024/12/26 (17:46:11) | WARNING: Intel GPU: Failed to initialize PMU

